microaneurysmcount,countvalue
0a38b552372d_microaneurysm.jpg,997
dee1031a76ae_microaneurysm.jpg,237
dee31065f8fe_microaneurysm.jpg,2467
dee687c6e88a_microaneurysm.jpg,1098
df0886f1e76b_microaneurysm.jpg,135
df3adfd6ba36_microaneurysm.jpg,1877
df4913ca3712_microaneurysm.jpg,2032
df4aec4a0eaf_microaneurysm.jpg,2583
df5ce3ea7820_microaneurysm.jpg,633
df6d13d04da1_microaneurysm.jpg,2092
df8365d6ac33_microaneurysm.jpg,1055
df841a0440d8_microaneurysm.jpg,754
df84e7113003_microaneurysm.jpg,1033
df9cb3729eb1_microaneurysm.jpg,914
